交易对,交易ID,订单ID,价格,数量,成交额,手续费,手续费币种,时间,是否买方,是否做市商,是否逐仓,持仓方向
AAVEUSDT,10710813,70754127,166.3,0.4,66.52,0.026608,USDT,2025-12-01 21:50:16,true,false,false,SHORT
AAVEUSDT,10710814,70754127,166.3,0.7,116.41,0.046564,USDT,2025-12-01 21:50:16,true,false,false,SHORT
AAVEUSDT,10710815,70754127,166.3,0.6,99.78,0.039912,USDT,2025-12-01 21:50:16,true,false,false,SHORT
AAVEUSDT,10710816,70754127,166.3,42.9,7134.27,2.853708,USDT,2025-12-01 21:50:16,true,false,false,SHORT
AAVEUSDT,10711005,70754611,166.04,91.4,15176.056,6.0704224,USDT,2025-12-01 21:56:21,false,false,false,SHORT
AAVEUSDT,10711284,70755183,167.12,91.4,15274.768,6.1099072,USDT,2025-12-01 22:05:49,true,false,false,SHORT
AAVEUSDT,10711442,70755497,167.12,8.5,1420.52,0.568208,USDT,2025-12-01 22:11:22,true,false,false,LONG
AAVEUSDT,10711443,70755497,167.12,82.3,13753.976,5.5015904,USDT,2025-12-01 22:11:22,true,false,false,LONG
AAVEUSDT,10711610,70755831,166.04,90.8,15076.432,6.0305728,USDT,2025-12-01 22:17:13,false,false,false,LONG
AAVEUSDT,10711616,70755842,166.04,90.3,14993.412,5.9973648,USDT,2025-12-01 22:17:21,false,false,false,SHORT
AAVEUSDT,10711807,70756272,167.12,37.5,6267,2.5068,USDT,2025-12-01 22:23:10,true,false,false,SHORT
AAVEUSDT,10711808,70756272,167.12,52.8,8823.936,3.5295744,USDT,2025-12-01 22:23:10,true,false,false,SHORT
BICOUSDT,5225702,15278253,0.05801,191086,11084.89886,4.43395954,USDT,2025-12-01 08:05:44,true,false,false,SHORT
